Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Área do conhecimento CNPq,Tipos de acesso,Tipo de documento,Assuntos em português,Assuntos em inglês,Idioma,Resumo,Link de acesso,Identificador persistente ARK,Resumo em Inglês,Referência Bibliográfica
Naiara Ramos de Oliveira,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Análise da literatura relacionada ao abastecimento de água em contextos rurais específicos,2022,Universidade Federal de Minas Gerais (UFMG),UFMG,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Abastecimento de água||Saneamento rural||Sistema descentralizado||Gestão da água||Engenharia sanitária||Saneamento||Abastecimento de água||Saneamento rural,Não informado pela instituição,por,"The presence of drinking water in households located in territories characterized by dispersion in the form of occupation represents a laborious task for its residents. The long-standing urban-rural dualistic structure and economic development focused on some sectors have imposed and still impose challenges on the management of drinking water in several countries due to low demand, geographic isolation and limited human and financial capacity. The present research aims to analyze the profiles of publications that cover water supply in places where houses are isolated from each other, qualifying the most recurrent themes and quantifying their occurrence in time and space, in order to expose the main challenges found in publications on water supply in the contexts of territorial occupation under study. For this, 10,101 publications from the main cientific databases were used, which refer to water supply interfaces in that context. In order to achieve the type of intended reality – the dispersion of dwellings in the territory, characterizing the isolated rural – the following search terms were used (a search string with AND and OR operators): “water” AND “decentralized systems” OR “household solutions” OR “individual solutions” OR “small-scale” OR “dispersed regions” OR “isolated regions” OR “dispersed dwellings”. Such terms received special attention regarding the ways of conceptualizing the reality in evidence, regarding the specificities of the terms when translated into English. The analysis focused on thematic networks linked to water supply interfaces, analyzed from the historical context and landmarks on the subject greater impact. A significant number of studies have been exploring this theme from different angles. In chronological order, a growing range of works recognizes drinking water as indispensable to public health, an ideal that has given rise to the recognition of water as a fundamental human right. However, many works continued to focus on technical approaches and operational procedures, with consequent limited attention to management and low technological appropriation by the population residing in isolation contexts. In the field of public health, decisions are based on scientific evidence from systematic approaches, revealing that drinking water consumption is inseparable from health. This approach reinforcing the importance of research that favors the compression of structural and structuring measures, so that the physical structure that represents the set of techniques for water supply, has management that guarantees sustainability and longevity to the solution. Management is configured as the axis that sustains the progress of universal service to rural populations, and its improvement is necessary so that the water supply becomes a reality for the population that does not fit the principle of economy of scale.",http://hdl.handle.net/1843/52674,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Vieira, Betiane Figueredo",Não informado pela instituição,"Costa, Jailton de Jesus||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Análise ambiental da Serra da Caboronga em Ipirá(BA): subsídio ao planejamento e a gestão ambiental,2021,Universidade Federal de Sergipe (UFS),UFS,Não informado pela instituição,Não informado pela instituição,Pós-Graduação em Desenvolvimento e Meio Ambiente,OUTROS,openAccess,masterThesis,Meio ambiente||Degradação ambiental||Gestão ambiental||Política ambiental||Conservação ambiental,Environmental conservation||Ambiental degradation||Environmental management,por,"Currently, the way society interferes with nature has been questioned a lot, since, to satisfy their needs, human beings overexploit and impact the environment to varying degrees. The catastrophic result of this predatory action can already be seen: animal and plant species being extinct, environmental degradation, excessive surplus, deforestation, global warming, climate change, among others. Serra da Caboronga, located in the municipality of Ipirá, in the State of Bahia, is subject to intense anthropic pressure by various social actors. The conflicts of human activities on the mountains, translated by deforestation and the efficient use of natural resources, led to environmental degradation. In view of this, this study had the general objective of analyzing the environmental conditions of Serra da Caboronga, with a view to subsidizing environmental planning and management in the area. To this end, a characterization and analysis of the physical environment (Climate Conditions, Vegetation Cover, Geomorphology, Water Resources, Geology and Pedology) was carried out with the use of geotechnologies such as Remote Sensing and the Geographic Information System. Pedological, geological and hydrographic maps were generated from IBGE data (2019); hypsometry and slope maps, based on the Digital Elevation Model (MDE), available in the TOPODATA-INPE database; The Normalized Difference Vegetation Index (NDVI) was distributed, based on the use of satellite images, Landsat-5 and 8 sensors; graphs and tables were elaborated with climatological data: air temperature and exclusion; and the water balance was constructed for the municipality of Ipirá, using the method of Thornthwaite and Mather (1955). Maps of land use and land cover were made through supervised automatic classification, followed by the treatment, interpretation and analysis of satellite images. Field work was carried out to validate secondary data, based on direct observation, photographic record and collection of point coordinates, using a GPS application. Finally, the Serra da Caboronga landscape units were delimited by overlaying geological basement maps, landforms, drainage network, soil types, slope and land uses. It was possible to obtain a comprehensive and integrated diagnosis of the environmental conditions of Serra da Caboronga. With this, it is expected to serve as a source of information for the formulation of public policies, aimed at the conservation of natural resources. In this sense, provide scientific elements to expand the discussion regarding the creation of a conservation unit in this space, in order to protect the local ecosystem and / or ensure the sustainable use of its natural resources.",https://ri.ufs.br/jspui/handle/riufs/19784,Não informado pela instituição,Não informado pela instituição,"VIEIRA, Betiane Figueredo. Análise ambiental da Serra da Caboronga em Ipirá(BA): subsídio ao planejamento e a gestão ambiental. 2021. 133 f. Dissertação (Mestrado em Desenvolvimento e Meio Ambiente) – Universidade Federal de Sergipe, São Cristóvão, 2021."
"Bertolini, Maria Madalena",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Desenvolvimento de metodologia para sistematização de aquisição de gêneros da alimentação escolar de municípios da região Oeste do Paraná,2022,Universidade Tecnológica Federal do Paraná (UTFPR),UTFPR,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Controle de processo||Merenda escolar||Agricultura familiar||Process control||School children - Food||Family farms||CNPQ::CIENCIAS AGRARIAS::CIENCIA E TECNOLOGIA DE ALIMENTOS||Engenharia/Tecnologia/Gestão,Não informado pela instituição,por,"Family farming sustains the production of 70% of the food that is on the consumer's table, being the 8th producer of food in the world and the largest Brazilian company, adding 3,897,408 rural establishments. These food are healthier, natural and diversified, fresh, nutritious, respecting local eating habits, reducing the consumption of industrialized products. In this sense, this research aimed to develop electronic spreadsheets incorporating technology to farmers and employees in the act of delivery and receipt of products, in order to optimize the process of acquisition, control and distribution of foodstuffs, following the precepts of the Federal Law No. 11,947/2009. This law determines that at least 30% of the resources transferred by the National Fund for the Development of Education - FNDE, to the National School Feeding ProgramPNAE, must be used to purchase food products from family farming. The instrument developed in this study will make it possible to control and record the application and administration of 30% of the PNAE resources. A bibliographic and documentary survey, elaboration and application of questionnaires with administrative employees, involved in the process of controlling school meals and farmers who deliver products from family agriculture, in the municipalities of Serranópolis do Iguaçu, Medianeira, Missal, Ramilândia in the western region of Paraná, were used as data collection. It was observed that the municipalities carry out the Public Bidding on an annual basis and the control on receipt occurs physically, with 44% of the producers using printed spreadsheets and 56% using carbon receipts, 43% deliver to educational institutions, 29% at the Education Department, and 28% at the cooperatives. This research pointed out that 45% of the producers joined the program for contributing to the improvement of their income, and 23% for being a safe market and providing a programmed income. It was observed that the municipalities have few suppliers of meat produts, due to the requirements of adaptations to attend the sanitary rules as the high cost of production as well. The control of delivery and receipt of the products is done physically, using receipt blocks and printed worksheets. It was noted that 75% of the employees stated that the control is efficient and 25% said that it could be improved, and 100% wanted to improve the control. Considering the validation of the spreadsheets developed in this study, 87% of the administrative employees stated that they met all control needs, with 87% rated it as excellent and 13% as very good. The electronic spreadsheet technology developed in this research will facilitate the work of the administrative employees involved with the school food service, as well as assist rural farmers in controlling the production of food for municipal governments, maximizing their operational time of activities, in addition to form a database for future planning by both the producer and public bodies.","BERTOLINI, Maria Madalena. Desenvolvimento de metodologia para sistematização de aquisição de gêneros da alimentação escolar de municípios da região Oeste do Paraná. 2022. Dissertação (Mestrado em Tecnologias Computacionais para o Agronegócio) - Universidade Tecnológica Federal do Paraná, Medianeira, 2022.||http://repositorio.utfpr.edu.br/jspui/handle/1/29902",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Maia, Luis Janssen",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Potencial biotecnológico e impacto antrópico em microrganismos prospectados no lago Paranoá, Brasília, DF",2021,Universidade de Brasília (UnB),UNB,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Poluição||Biorremediação||Melanina||Klebsiella pneumoniae||Resistência a antimicrobianos,Não informado pela instituição,por,"Tese (doutorado) — Universidade de Brasília, Instituto de Ciências Biológicas, Departamento de Biologia Celular, Programa de Pós-Graduação em Biologia Molecular, 2021.","MAIA, Luis Janssen. Potencial biotecnológico e impacto antrópico em microrganismos prospectados no lago Paranoá, Brasília, DF. 2021. 162 f., il. Tese (Doutorado em Biologia Molecular) — Universidade de Brasília, Brasília, 2021.||https://repositorio.unb.br/handle/10482/43135",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Naibo, Gabriela",Não informado pela instituição,"Tiecher, Tales||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Espectroscopia de infravermelho próximo para estimar a concentração de elementos em solos e sedimentos em uma bacia hidrográfica rural,2021,Universidade Federal do Rio Grande do Sul (UFRGS),UFRGS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Espectrofotometria de infravermelho||Quimiometria||Sedimento||Analise do solo||Química do solo||Bacia sedimentar,Reflectance spectroscopy||Chemometry||Machine learning||Spectral pre-processing||Sediments||Chemical elements,por,"A estimativa da concentração de elementos em solos e sedimentos é essencial no monitoramento da transferência de nutrientes e poluentes dos ambientes terrestres para os aquáticos. Contudo, o custo do monitoramento detalhado multielementar baseado em análises químicas convencionais para séries grandes de amostras em bacias hidrográficas pode ser impeditivo para muitos centros de pesquisa. Dessa forma, é preciso desenvolver técnicas de baixo custo para determinar a concentração de elementos em amostras de solo e sedimento. O objetivo desse estudo foi avaliar quais são as melhores combinações de métodos multivariados e técnicas de pré-processamento para aumentar a acurácia da estimativa da concentração de elementos em amostras de solo e sedimento utilizando o infravermelho próximo (NIR). Adicionalmente, foi avaliado o uso da espectroscopia na faixa do NIR para estimar a concentração de elementos presentes no sedimento usando modelos calibrados com amostras de solo de uma mesma bacia hidrográfica. O banco de dados de solo e sedimento utilizado é oriundo de amostras coletadas na bacia hidrográfica do Rio Guaporé, no Sul do Brasil. Um total de 316 amostras de solo e 196 de sedimento, foram secas, desagregadas e peneiradas em malha de 63 μm. O carbono orgânico (C) foi quantificado pela oxidação úmida e a concentração pseudo-total dos elementos (Al, Ba, Be, C, Ca, Co, Cr, Cu, Fe, K, La, Li, Mg, Mn, Na, Ni, P, Pb, Sr, Ti, V e Zn) foi quantificada por ICP-OES (Inductively Coupled Plasma Optical Emission Spectrometry) após digestão assistida por micro-ondas com HCl e HNO3 (3:1). Os espectros NIR (1000-2500 nm) foram obtidos em todas as amostras de solo e sedimento. Os métodos multivariados de machine learning testados foram: Partial Least Squares Regression (PLSR) e Support Vector Machine (SVM), combinados com três pré-processamentos dos espectros: Detrend (DET), Savitzky-Golay Derivate (SGD) e Standard Normal Variate (SNV) comparados aos espectros brutos (RAW). Essas combinações foram aplicadas ao conjunto de amostras de solo e de sedimento isoladamente, e combinando ambos os conjuntos (solo + sedimento). O desempenho dos modelos e pré-processamentos foram avaliados pelo coeficiente de determinação (R2), raiz quadrada do erro médio (RMSE), e pela relação entre o desempenho e a distância interquartil (RPIQ). O modelo SVM resultou em melhores predições comparado ao PLSR para solo, sedimento e solo+sedimento. O efeito do pré-processamento aumentou a acurácia das estimativas na seguinte ordem: RAW<SNV<DET=SGD. Os melhores modelos foram obtidos combinando o método de calibração multivariada SVM com o pré- processamento SGD. O ajuste dos modelos calibrados separadamente utilizando amostras de solo (R2 = 0,88) e sedimento (R2 = 0,89) foi superior comparado aos modelos calibrados combinando amostras de solo e sedimento (R2 = 0,85). Na bacia hidrográfica estudada, a predição da concentração dos elementos presentes em sedimentos através de modelos calibrados com amostras de solo teve baixa acurácia, com R2 médio de 0,11 (variando de 0,00 a 0,46). Portanto, é necessário calibrar modelos separadamente para estimar a concentração de elementos em solo e sedimento com maior acurácia. Os resultados demonstraram que é possível construir modelos espectroscópicos acurados para predizer a concentração de elementos tanto em amostras de solo quanto em amostras de sedimento para todos os elementos avaliados.",http://hdl.handle.net/10183/233167,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Regis, Natan Moreira",Não informado pela instituição,"Lima, Matheus Paes||Não informado pela instituição",http://lattes.cnpq.br/1835846543912999||Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Two-dimensional transition metal halides for optical applications: impact of excitons,2024,Universidade Federal de São Carlos (UFSCAR),UFSCAR,Não informado pela instituição,Não informado pela instituição,Programa de Pós-Graduação em Física - PPGF,CIENCIAS EXATAS E DA TERRA::FISICA::FISICA DA MATERIA CONDENSADA::SUPERFICIES E INTERFACES; PELICULAS E FILAMENTOS,openAccess,masterThesis,Não informado pela instituição,Transition Metal Halides||Two Dimensional||Monolayer||Excitons,eng,"Two-dimensional materials have experienced rapid growth since the first exfoliation of graphene in 2004, which is an atomically thin sheet of carbon atoms exfoliated from graphite. Despite several unprecedented properties of graphene, induced by quantum confinement, it lacks a band gap that limits some optoelectronic applications. however, graphene motivates a new research field of two-dimensional materials, and their potential compositions and structures, ranging from insulators to semiconductors to conductors. The wide range of conductive behavior within the quantum confinement gives rise to distinct behaviors, including a large exciton binding energy. Excitons are quasi-particles formed by an electron-hole pair that interact through Coulomb attraction, a phenomenon present in semiconductors but more notable in low-dimensional materials due to quantum confinement, which changes the dielectric environment. However, single-particle theoretical methods, such as ground-state density functional theory, do not describe excitons because it is a many-body phenomenon. Thus, a complete characterization of the optical properties of two-dimensional materials requires going beyond a single-particle perspective. Motivated by the accomplishment of several two-dimensional materials and halide perovskites, this work explores a new class of two-dimensional materials, namely, transition metal halide (TMHs) monolayers. We initially selected potential TMHs for optoelectronics in the Computational 2D Materials Database (C2DB) and subsequently analyzed the structural, electronic, optical and excitonic properties using state-of-the-art theoretical methods to study materials such as Density Funcional Theory (DFT) calculations including relativistic and bandgap correction and the evaluation of optical properties including excitonic effect within Tight Binding (TB) Hamiltonian and by the solution of Bethe-Salpeter equation (BSE). Our calculations show that the equilibrium structure calculated by C2DB agrees with those obtained here and with other theoretical works. However, electronic properties exhibit important deviations that are not homogeneous among systems. For iinstance, we observed deviations in the bandgap values up to 17 % when considering relativistic correction and for the corrected bandgap value computed applying the scissors operator methodology. We also computed optical and excitonic properties by solving the Bethe-Salpeter equations, showing isotropic and non-isotropic light absorption among the systems. The inclusion of excitonic effects decreased the maximum light absorption when compared to the absorption coefficient without these effects and also changes in the energy region of spectra. The compositions demonstrated considerable binding energy, highlighting the importance of studying this quasi-particle in theoretical calculations. The possible heterojunctions are hardly influenced by excitonic effects; thus, evaluating possible heterojunctions must take into account exctions. Finally, we found evidence of an excitonic insulator among the systems, where the excited state are preferable than the semiconducting ground state.",https://repositorio.ufscar.br/handle/20.500.14289/20908,Não informado pela instituição,Não informado pela instituição,"REGIS, Natan Moreira. Two-dimensional transition metal halides for optical applications: impact of excitons. 2024. Dissertação (Mestrado em Física) – Universidade Federal de São Carlos, São Carlos, 2024. Disponível em: https://repositorio.ufscar.br/handle/20.500.14289/20908."
"Santos, Amanda Ribeiro dos",Não informado pela instituição,"Venturini, James||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Fibrogênese pulmonar na paracoccidioidomicose: comparação do perfil proteômico de diferentes modelos experimentais de fibrose pulmonar e hepática,2022,Universidade Federal de Mato Grosso do Sul (UFMS),UFMS,Brasil,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Paracoccidioides Brasiliensis||Fibrose Pulmonar||Enfisema,Não informado pela instituição,por,"Introduction. Paracoccidioidomycosis (PCM) is a systemic mycosis caused by fungi of the genus Paracoccidioides. It is an endemic disease in Latin America, being the leading cause of death among all systemic mycoses in Brazil. This disease mainly affects rural workers and induces severe sequelae, including pulmonary fibrosis (PF) and pulmonary emphysema. In general, fibrogenesis is characterized by myofibroblast hyperplasia and intense collagen deposition in the parenchyma and blood vessels. Over time, this process induces changes in the architecture of the affected organ, inducing a decline in function. In general, knowledge of the mechanisms involved in fibrogenesis is based on studies, for example, of non-infectious hepatic and pulmonary fibrosis, such as idiopathic pulmonary fibrosis (IPF). In PCM, the mechanisms involved in PF remain unclear. Objective. Identify signaling pathways relevant to FP in experimental PCM by comparing the pulmonary proteome of mice infected with P. brasiliensis and mice with bleomycin-induced FP (BLM), as well as relevant target proteins that are common in FP models (PCM and BLM) and in the model of FH induced by carbon tetrachloride (CCl4). Material and Methods. The FP-PCM model consisted of adult male BALB/c mice inoculated with P. brasiliensis yeasts (Pb326 isolate) by the intratracheal route and evaluated after eight weeks. The FP-BLM model consisted of adult male BALB/c mice, which were administered three doses of bleomycin intraperitoneally and were evaluated two weeks after the last dose. The FH model consisted of adult male C57Bl/6 mice in which 12 doses of CCl4 were administered intraperitoneally twice a week for six weeks. Control groups consisted of BALB/c and C57Bl/6 mice submitted to the same inoculum conditions, using sterile saline solution. Lungs and liver were collected according to each model and submitted to histopathological analysis and recovery of viable fungi for the FP-PCM model. Proteomic analysis was performed using liquid nanochromatography coupled to an electrospray ionization mass spectrophotometer (nano-LC-ESI MS/MS). The Protein Lynx Global Service (PLGS) software was used to identify the difference in the expression of the identified proteins, where p <0.05 and 1 - p> 0.95, were used for the determination of under- or over expressed proteins respectively. Bioinformatics analyzes were performed to identify the significantly enriched pathways in which proteins with similar or different expression between groups participated. For this analysis, the Reactome pathway database was used through the Cluego v2.0.7 + Clupedia v1.0.8 plug-in in the Cytoscape software. Results and discussion. Proteomic analysis revealed 919 proteins differentially expressed between the lungs of the FP-PCM model and the healthy lung of the control group. It was also observed that P. brasiliensis infection induced overexpression in pathways related to pro-fibrotic signaling, including: neutrophilic response, cellular response to stress, pro-fibrotic response mediated by TGF-β receptor signaling in cell transition from epithelial to mesenchymal, attenuation phase and secretory phenotype associated with senescence, platelet degranulation and PI3K signaling. A total of 355 proteins were identified in common with the three fibrosis models evaluated. The analysis of the expression pattern of these proteins through heatmap revealed that the fibrogenesis observed in the experimental PCM showed greater similarity between the proteins differentially expressed by the model of FH induced by CCl4. Rho GTPases, HSP-90 and vimentin proteins were overexpressed in the fibrotic tissues of these two groups. Conclusion. Our findings contribute to identify more specific molecular mechanisms involved in PCM fibrogenesis, as well as to identify protein targets for possible anti-fibrotic drugs in PCM",https://repositorio.ufms.br/handle/123456789/5393,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Sangoi, Daniely Vaz da Silva",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Espectroscopia Vis-NIR-SWIR combinada com machine learning para predição de cobre e zinco em solos de vinhedos no sul do Brasil,2022,Universidade Federal de Santa Maria (UFSM),UFSM,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Sensoriamento remoto hiperespectral||Metais pesados||Pré-processamento||Aprendizado de máquina||Modelo de predição global e regional||Hyperspectral remote sensing||Heavy metals||Pre-processing||Machine learning||Global and regional prediction model||CNPQ::CIENCIAS AGRARIAS::AGRONOMIA::CIENCIA DO SOLO,Não informado pela instituição,por,"Careful and sustainable management of vineyard soils is fundamental to the success of vineyards. These areas have been faced with high levels of available copper (Cu) and zinc (Zn) in the soil, as a result of the frequent applications of fungicides based on these elements. This can result in high levels in the soil, resulting in toxicity to plants, also runoff and reach riverbeds, and even leach and reach groundwater. Soil collection and analysis are essential tools to determine the Cu and Zn content available in the soil. However, routine laboratory analyzes are characterized by the destruction of samples and generate chemical residues, which harm the environment if not disposed of correctly. Spectroscopy in the visible, near-infrared and shortwave electromagnetic spectrum (Vis-NIR-SWIR) combined with machine learning methods has shown great advantages and important potential as a technique for predicting soil clay and organic carbon contents. In the scientific and technical field, there is a demand for research related to Vis-NIR-SWIR spectroscopy studies related to other soil attributes, such as Cu and Zn. Therefore, this thesis explores the Vis-NIR-SWIR spectroscopy technique combined with machine learning methods to develop spectral prediction models for available Cu and Zn contents in vineyard soils. The literature shows that the predictive capacity of the models is associated with the characteristics of the soil spectral data and the machine learning method used in the predictive modeling. Therefore, it is fundamental to evaluate the characteristics of the spectral curves, pre-processing and machine learning method in data sets, composed of soils with variation in physical, chemical and mineralogical characteristics, as in the case of subtropical soils in the present study. There is also a need to test the effect of the strategy of stratifying general databases into regional sets on the calibration of prediction models. In STUDY 1, initially, 1482 soil samples were collected from different vineyards in three grape producing regions in the state of Rio Grande do Sul (RS), Brazil: Campos de Cima da Serra, Serra Gaúcha and Campanha Gaúcha. These regions have different levels of Cu and Zn in the soil. Samples were analyzed chemically by Mehlich-1 and spectrally by Vis-NIR-SWIR. The machine learning techniques used were Partial Least Square Regression (PLSR), Cubist (CUB), Support Vector Machine (SVM) and Random Forest (RF). The results identified relevant information in the spectral signatures, which were used to spectrally analyze the available Cu and Zn contents in the soil. It was possible to perform the predictions of these elements due to the inferences with spectrally active soil properties. The highest accuracies were obtained by combining RF with pre-processed spectra using the Savitzky-Golay first derivative technique. As for STUDY 2, the total database (n=1482) was separated into regional subsets based on specific characteristics of the regions where the soil samples were collected. The spectral models were calibrated and after external validation was carried out. With this strategy, it was possible to indirectly estimate the available Cu and Zn contents, with greater accuracy of predictions being observed for models calibrated with regional subsets.",http://repositorio.ufsm.br/handle/1/29565,ark:/26339/001300000p9t9,Não informado pela instituição,Não informado pela instituição
"Ribas, Paloma Gerlach, 1993-",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Taxonomia de Tetradesmus sp. isolado no Paraná e composição da sua biomassa em diferentes concentrações de nutrientes,2020,Universidade Federal do Paraná (UFPR),UFPR,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Microalga||Alga verde||Taxonomia||Morfologia (Biologia)||Macromoleculas||Biotecnologia||Genética,Não informado pela instituição,por,Orientadora: Prof.ªDr.ª Vanessa Merlo Kava,https://hdl.handle.net/1884/69421,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Cardel, Victor Soares",http://lattes.cnpq.br/5717984026722567,"Santos, Bruno Pereira dos||Rettore, Paulo Henrique Lopes",http://lattes.cnpq.br/0092226104911153||http://lattes.cnpq.br/9765485978306232,"Santos, Bruno Pereira dos||Rettore, Paulo Henrique Lopes||Rios, Tatiane Nogueira||Freitas, Allan Edgard Silva||Não informado pela instituição",http://lattes.cnpq.br/0092226104911153||http://lattes.cnpq.br/9765485978306232||http://lattes.cnpq.br/0851148137941240||http://lattes.cnpq.br/2901867166038988||Não informado pela instituição,A systematic review and Q-learning-based design of scheduling functions for 6tisch networks.,2025,Universidade Federal da Bahia (UFBA),UFBA,Brasil,Instituto de Computação - IC,Programa de Pós-Graduação em Ciência da Computação (PGCOMP) ,CNPQ::CIENCIAS EXATAS E DA TERRA::CIENCIA DA COMPUTACAO,openAccess,masterThesis,Redes sem FIo||Q-learning - Aprendizado por reforço||Funções de escalonamento||Algoritmos - Escalonamento,Não informado pela instituição,eng,"A tecnologia IPv6 over the TSCH mode of IEEE 802.15.4e (6TiSCH) permite a operação de redes IPv6 em enlaces IEEE 802.15.4, as quais são gerenciadas pelo protocolo Time Slotted Channel Hopping (TSCH). O TSCH é um protocolo de acesso ao meio para redes sem fio de baixa potência, oferecendo baixo consumo, latência determinística e alta confiabilidade por meio de multiplexação tempo-frequência. Para tanto, o 6TiSCH usa Scheduling Functions (SFs) para definir os melhores momentos de comunicação dos dispositivos. A implementação das SFs, dependente do contexto da comunicação, é um tópico de estudo na literatura. Diversos trabalhos propuseram esquemas de escalonamento com vantagens e desvantagens. A Inteligência Artificial (IA), especialmente o aprendizado de máquina, surge como ferramenta promissora para adaptação e flexibilidade. Apesar de diversos estudos compararem estratégias de escalonamento, a sistematização de algoritmos de IA para 6TiSCH ainda carece de exploração. Este trabalho se propõe a realizar essa revisão, apresentando uma análise da atual conjuntura da utilização de IA na elaboração de SFs para 6TiSCH. Este trabalho avança ao apresentar, avaliar e comparar dois novos métodos de escalonamento baseado em Q-learning com o estado da arte em escalonamento 6TiSCH. Os resultados experimentais demonstram o potencial promissor da abordagem proposta.",https://repositorio.ufba.br/handle/ri/42742,Não informado pela instituição,Não informado pela instituição,"CARDEL, Victor Soares. A systematic review and Q-Learning-based design of sheduling functions for 6TiSCH networks. 2025. 78 f. Dissertação (Mestrado em Ciência da Computação) - Instituto de Computação, Universidade Federal da Bahia, Salvador (Bahia), 2025."
